#Organism/Name	taxid	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Agonopterix arenella	1594222	PRJEB50002	796926	Animals	Insects	539.624	37.2	GCA_927400025.1	-	CAKMJR01	529	-	-	2022/01/21	2022/01/21	Contig	WELLCOME SANGER INSTITUTE	SAMEA8603192
Aplosporella prunicola	462254	PRJNA777748	777748	Fungi	Ascomycetes	32.5152	54.3	GCA_023079245.1	-	JAJMVB01	334	-	-	2022/04/21	2022/04/21	Scaffold	Shandong Agricultural University	SAMN22899345
Penium margaritaceum	102169	PRJNA534309	534309	Plants	Other Plants	3661.74	44.1	GCA_023375785.1	-	SZWC01	332786	-	-	2022/05/16	2022/05/16	Scaffold	Cornell University	SAMN11483940
Serpula lacrymans var. lacrymans S7.9	578457	PRJNA32885	32885	Fungi	Basidiomycetes	42.7972	45.3	GCA_000218685.1	-	AEQB01	46	12923	12925	2011/06/16	2014/08/01	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02744068
Ogataea polymorpha	460523	PRJNA663430	663430	Fungi	Ascomycetes	9.36127	47.5	GCA_020536115.1	-	JAEUBD01	1621	6817	6804	2021/10/20	2021/10/20	Scaffold	Barcelona Supercomputing Center	SAMN16124934
Oryza meyeriana var. granulata	110450	PRJNA412686	412686	Plants	Land Plants	776.957	46.3	GCA_003991445.1	-	RYFJ01	4618	-	-	2019/01/03	2019/01/03	Contig	Yunnan Agricultural University	SAMN07723085
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3493	38.3543	GCA_001738825.1	chromosome I:CM005599.1; chromosome II:CM005600.1; chromosome III:CM005601.1; chromosome IV:CM005602.1; chromosome V:CM005603.1; chromosome VI:CM005604.1; chromosome VII:CM005605.1; chromosome VIII:CM005606.1; chromosome IX:CM005607.1; chromosome X:CM005608.1; chromosome XI:CM005609.1; chromosome XII:CM005610.1; chromosome XIII:CM005611.1; chromosome XIV:CM005612.1; chromosome XV:CM005613.1; chromosome XVI:CM005614.1	MBWG01	638	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190461
Claviceps spartinae	1294630	PRJNA528707	528707	Fungi	Ascomycetes	29.3089	51.4	GCA_018360215.1	-	SRPX01	1456	8433	8314	2021/05/14	2021/05/14	Contig	None	SAMN11159888
Ascochyta rabiei	5454	PRJNA272665	272665	Fungi	Ascomycetes	34.6583	50.7	GCA_001630375.1	-	JYNV01	338	10596	10596	2016/04/19	2016/04/19	Scaffold	National Institute of Plant Genome Research	SAMN03284776
Saitozyma podzolica	1890683	PRJEB34750	596143	Fungi	Basidiomycetes	61.0831	60	GCA_902501155.1	-	CABVTH01	850	-	-	2019/12/16	2019/12/16	Scaffold	UNIVERSITY OF NOTTINGHAM	SAMEA6056411
Pseudogymnoascus sp. 24MN13	1622150	PRJNA342683	342683	Fungi	Ascomycetes	30.1795	50.3	GCA_001662595.1	-	LAJK01	2827	10368	10269	2016/06/14	2018/01/05	Scaffold	NCBI	SAMN03382560
Oryzias latipes	8090	PRJEB56756	893964	Animals	Fishes	772.953	40.9	GCA_947078815.1	-	CAMTTV01	298	-	-	2022/10/25	2022/10/26	Scaffold	EMBL-EBI	SAMEA111479013
Fusarium sp. Ph1	2898544	PRJNA782245	782245	Fungi	Ascomycetes	51.4608	51.0481	GCA_025433565.1	chromosome 4:CM046519.1; chromosome 5:CM046520.1; chromosome 7:CM046521.1; chromosome 8:CM046522.1; chromosome 9:CM046523.1; chromosome 10:CM046524.1; chromosome 11:CM046525.1; chromosome 13:CM046526.1; chromosome 14:CM046527.1; chromosome 15:CM046528.1	JANGYC01	24	15498	15084	2022/09/27	2022/09/27	Chromosome	Academia Sinica	SAMN26804631
Hordeum vulgare	4513	PRJEB45469	854465	Plants	Land Plants	4429.47	44.3	GCA_910594345.1	-	CAJVDU01	2632309	-	-	2022/06/30	2022/06/30	Contig	Leibniz Institute of Plant Genetics and Crop Plant Research	SAMEA9209182
Orbilia oligospora	2813651	PRJNA526694	526694	Fungi	Ascomycetes	39.7286	44	GCA_011067015.1	-	JAABLO01	301	12104	13835	2020/03/06	2020/03/06	Scaffold	Academia Sinica	SAMN11107032
Bubalus bubalis	89462	PRJNA40113	40113	Animals	Mammals	3759.98	32.3	GCA_000180995.3	-	ACZF03	117845	-	-	2009/10/19	2018/02/22	Scaffold	Anand Agricultural University, Anand, Gujarat, India	SAMN00004269
Ascochyta lentis	205686	PRJNA506513	506513	Fungi	Ascomycetes	41.1933	48.5	GCA_004335145.1	-	SATW01	3644	-	-	2019/03/08	2019/03/08	Contig	Curtin University	SAMN10461969
Aplodontia rufa	51342	PRJNA399342	399342	Animals	Mammals	3005.54	40.6	GCA_004027875.1	-	PVKS01	1279526	-	-	2019/01/16	2019/01/16	Scaffold	Broad Institute	SAMN07678037
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	50.4255	47.6	GCA_009298985.1	-	WGRN01	3244	-	-	2019/10/25	2019/10/25	Scaffold	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869187
Anopheles coustani	139045	PRJEB53256	844843	Animals	Insects	269.999	43.943	GCA_943734705.1	chromosome 2:OX030900.1; chromosome 3:OX030901.1; chromosome X:OX030902.1; mitochondrion:OX030899.1	CALSDV01	420	-	-	2022/06/02	2022/06/09	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA12928213
Cystobasidium ongulense	1930695	PRJDB6568	594864	Fungi	Basidiomycetes	19.8963	49.2	GCA_022835595.1	-	BQUP01	67	-	-	2022/02/19	2022/02/19	Scaffold	Biology group, National Institute of Polar Research	SAMD00106817
Micromonas commoda	296587	PRJEB51078	809297	Plants	Green Algae	17.248	64.1	GCA_937858595.1	-	CALLYG01	1053	-	-	2023/01/03	2023/01/08	Contig	European Bioinformatics Institute	SAMEA14035961
Beauveria bassiana	176275	PRJNA260878	260878	Fungi	Ascomycetes	34.4485	51.1	GCA_001684215.1	-	JTCZ01	3365	-	-	2016/07/12	2016/07/12	Scaffold	Wageningen University	SAMN03175169
Elongisporangium anandrum	289606	PRJNA601986	601986	Protists	Other Protists	38.9744	53.3	GCA_023337935.1	-	JAADXR01	2732	-	-	2022/05/11	2022/05/11	Contig	Agriculture and Agri-Food Canada	SAMN13878536
Saccharomyces cerevisiae	4932	PRJEB57445	901847	Fungi	Ascomycetes	11.8748	37.2	GCA_947343835.1	-	CAMZRR01	17	-	-	2022/11/15	2022/11/16	Scaffold	Quadram Institute Bioscience	SAMEA112128693
Saccharomyces cerevisiae x Saccharomyces eubayanus	1684324	PRJNA522928	522928	Fungi	Ascomycetes	18.1605	39.2	GCA_009667515.1	-	VZYK01	1667	-	-	2019/11/18	2019/11/18	Scaffold	University of Wisconsin-Madison	SAMN10973795
Metschnikowia aberdeeniae	353897	PRJNA312754	312754	Fungi	Ascomycetes	10.6587	48.5	GCA_002374675.1	-	NLAG01	201	-	-	2017/09/26	2017/09/26	Scaffold	University of Guelph	SAMN04516249
Saitozyma podzolica	1890683	PRJEB34750	596143	Fungi	Basidiomycetes	60.2126	60	GCA_902501245.1	-	CABVTS01	2410	-	-	2019/12/16	2019/12/16	Scaffold	UNIVERSITY OF NOTTINGHAM	SAMEA6056418
Plasmopara obducens	162140	PRJNA287843	287843	Protists	Other Protists	295.301	48.5	GCA_003640625.1	-	LGJD01	108828	-	-	2018/10/12	2018/10/12	Scaffold	USDA-ARS	SAMN03787759
Yarrowia lipolytica	4952	PRJNA328405	328405	Fungi	Ascomycetes	20.4651	49	GCA_003571385.1	-	NKYS01	375	-	-	2018/09/14	2018/09/14	Scaffold	Savitribai Phule Pune University	SAMN05170376
Phylloscopus trochilus trochilus	209781	PRJNA550489	550489	Animals	Birds	1249.32	40.6	GCA_016584745.2	-	WQNJ02	547	-	-	2021/01/08	2021/01/08	Scaffold	Lund University	SAMN13496861
Aspergillus flavus	5059	PRJNA482816	482816	Fungi	Ascomycetes	36.9667	48.3	GCA_013436335.1	-	JABVZA01	635	-	-	2020/07/21	2020/10/22	Contig	USFDA	SAMN14613762
Dreissena polymorpha	45954	PRJNA269790	269790	Animals	Other Animals	0.90568	36	GCA_000806325.1	-	JWHF01	1057	-	-	2014/12/22	2015/03/26	Contig	University of Girona	SAMN03257522
Ilyonectria destructans	64609	PRJNA500111	500111	Fungi	Ascomycetes	71.7157	50.7	GCA_020740775.1	-	JAHEWK01	82	22247	22025	2021/11/04	2021/11/08	Contig	DOE Joint Genome Institute	SAMN10362838
Torulaspora delbrueckii	4950	PRJEB46640	790550	Fungi	Ascomycetes	9.19515	41.9	GCA_931301815.1	-	CAKNTF01	51	-	-	2022/02/19	2022/02/26	Contig	Centre of Molecular and Environmental Biology, UM, Portugal	SAMEA8995736
Agonum fuliginosum	1553040	PRJEB58063	909154	Animals	Insects	626.012	31.5	GCA_947534335.1	-	CANNYL01	2094	-	-	2022/12/06	2022/12/07	Contig	WELLCOME SANGER INSTITUTE	SAMEA8603240
Tamandua tetradactyla	48850	PRJNA399420	399420	Animals	Mammals	3849.37	39.5	GCA_004025105.1	-	PVIF01	2144204	-	-	2019/01/15	2019/01/15	Scaffold	Broad Institute	SAMN07678112
Cimex lectularius	79782	PRJNA259363	259363	Animals	Insects	697.643	25.1	GCA_001460545.1	-	JRLE01	12423	-	-	2015/12/04	2016/03/08	Scaffold	Weill Cornell Medical College	SAMN03004270
Discoglossus pictus	8351	PRJNA912128	912128	Animals	Amphibians	1937.16	39	GCA_027410455.1	-	JAPZII01	4005	-	-	2022/12/27	2022/12/27	Scaffold	Vertebrate Genomes Project	SAMN32227109
Rhizopogon sp. AM-2018a	2107715	PRJNA436024	436024	Fungi	Basidiomycetes	34.4948	48.3	GCA_002995235.1	-	PVYK01	16970	-	-	2018/03/13	2018/03/13	Scaffold	Oregon State University	SAMN08611237
Aspergillus sparsus	37232	PRJNA852164	852164	Fungi	Ascomycetes	38.8684	44.7	GCA_027569235.1	-	JAPDES01	235	-	-	2023/01/04	2023/01/04	Contig	Northwestern University	SAMN31355050
Fusarium oxysporum f. sp. spinaciae	120042	PRJNA540981	540981	Fungi	Ascomycetes	56.2137	47.4	GCA_013347495.1	-	JAALGO01	3021	-	-	2020/06/16	2020/06/16	Scaffold	Washington State University Mount Vernon Northwestern Washington Research and Extension Center	SAMN11520596
Junonia pacoma	2691983	PRJNA606954	606954	Animals	Insects	146.324	31.9	GCA_018235365.1	-	DVWZ01	401659	-	-	2021/05/03	2022/02/17	Contig	Florida Museum of Natural History	SAMN13640888
Homo sapiens	9606	PRJNA604835	604835	Animals	Mammals	2880.35	40.9	GCA_012069725.1	-	JAAIVU01	1069	-	-	2020/04/06	2020/04/06	Contig	PacBio	SAMN12568975
Claviceps arundinis	1623583	PRJNA449361	449361	Fungi	Ascomycetes	30.0554	51.4	GCA_004016465.1	-	QEQZ01	1613	-	-	2019/01/14	2020/03/25	Contig	Agriculture and Agri-Food Canada	SAMN08798359
Heterobasidion irregulare	984962	PRJEB8921	300979	Fungi	Basidiomycetes	26.3748	52.5	GCA_001457935.1	-	CVKW01	14	-	-	2015/11/03	2015/11/03	Scaffold	UNIVERSITY OF TORINO	SAMEA3323520
[Candida] auris	498019	PRJNA549344	549344	Fungi	Ascomycetes	12.3837	45.1237	GCA_014217455.1	chromosome I:CP041135.1; chromosome II:CP041136.1; chromosome III:CP041137.1; chromosome IV:CP041138.1; chromosome V:CP041139.1; chromosome VI:CP041140.1; chromosome VII:CP041141.1; mitochondrion MT:CP041142.1	-	8	-	-	2020/08/17	2020/08/17	Complete Genome	Institute of Microbiology Chinese Academy of Sciences	SAMN12083544
Candida albicans	5476	PRJNA833221	833221	Fungi	Ascomycetes	16.4446	30.5	GCA_025766515.1	-	JAMFPR01	1256	-	-	2022/10/20	2022/10/20	Scaffold	Dalian Medical University	SAMN27963567
Heliconius melpomene aglaope	248311	PRJEB8011	288364	Animals	Insects	19.6328	32.4	GCA_001486005.1	-	FAQN01	49473	-	-	2015/11/29	2015/11/29	Scaffold	University of Cambridge, UK	SAMEA1094472
Fusarium oxysporum	5507	PRJNA412392	412392	Fungi	Ascomycetes	59.5019	49	GCA_011421285.1	-	WIKU01	5081	-	-	2020/03/18	2020/03/18	Scaffold	Cook Lab - University of California at Davis	SAMN07711119
Xiphophorus hellerii	8084	PRJNA604828	604828	Animals	Fishes	732.906	39.1213	GCA_003331165.2	chromosome 1:NC_045672.1/CM010375.2; chromosome 2:NC_045673.1/CM010376.2; chromosome 3:NC_045674.1/CM010377.2; chromosome 4:NC_045675.1/CM010378.2; chromosome 5:NC_045676.1/CM010379.1; chromosome 6:NC_045677.1/CM010380.2; chromosome 7:NC_045678.1/CM010381.2; chromosome 8:NC_045679.1/CM010382.2; chromosome 9:NC_045680.1/CM010383.2; chromosome 10:NC_045681.1/CM010384.2; chromosome 11:NC_045682.1/CM010385.2; chromosome 12:NC_045683.1/CM010386.2; chromosome 13:NC_045684.1/CM010387.2; chromosome 14:NC_045685.1/CM010388.2; chromosome 15:NC_045686.1/CM010389.2; chromosome 16:NC_045687.1/CM010390.2; chromosome 17:NC_045688.1/CM010391.2; chromosome 18:NC_045689.1/CM010392.2; chromosome 19:NC_045690.1/CM010393.2; chromosome 20:NC_045691.1/CM010394.2; chromosome 21:NC_045692.1/CM010395.1; chromosome 22:NC_045693.1/CM010396.2; chromosome 23:NC_045694.1/CM010397.2; chromosome 24:NC_045695.1/CM010398.2; mitochondrion MT:NC_013089.1/	QPIH02	87	30259	46248	2018/07/20	2019/12/05	Chromosome	NCBI	SAMN09545741
Lycodopsis pacificus	1772091	PRJNA921713	921713	Animals	Fishes	661.272	43.1	GCA_028021495.1	-	JAQMIN01	461	-	-	2023/01/26	2023/01/26	Scaffold	Vertebrate Genomes Project	SAMN32629383
Hordeum vulgare	4513	PRJEB45468	854464	Plants	Land Plants	4499.24	44.3	GCA_910594135.1	-	CAJVDY01	2446491	-	-	2022/06/30	2022/06/30	Contig	Leibniz Institute of Plant Genetics and Crop Plant Research	SAMEA9209181
Tilletia caries	13290	PRJNA317434	317434	Fungi	Basidiomycetes	28.1422	56.7	GCA_001645005.2	-	LWDD02	4633	9952	9952	2016/05/16	2019/10/30	Scaffold	Agriculture and Agri-Food Canada	SAMN04607374
Hypsizygus marmoreus	39966	PRJDB4779	319787	Fungi	Basidiomycetes	59.3842	49.6	GCA_001661215.1	-	BDDV01	10694	-	-	2016/05/11	2016/05/11	Scaffold	Kindai University	SAMD00051292
Aplocera efformata	934917	PRJEB49085	784909	Animals	Insects	250.786	37.1	GCA_921293035.1	-	CAKLCO01	303	-	-	2021/12/05	2021/12/05	Contig	WELLCOME SANGER INSTITUTE	SAMEA8603170
Rhizophagus irregularis	588596	PRJNA477348	477348	Fungi	Other Fungi	211.467	18.2	GCA_003833045.1	-	QZCD01	29249	-	-	2018/11/26	2018/11/26	Scaffold	University of Ottawa	SAMN09467025
Globisporangium okanoganense	182683	PRJNA601986	601986	Protists	Other Protists	44.2097	54.7	GCA_023334035.1	-	JAASFY01	5631	-	-	2022/05/11	2022/05/11	Contig	Agriculture and Agri-Food Canada	SAMN13878593
Theobroma cacao	3641	PRJNA51633	51633	Plants	Land Plants	345.994	34.6855	GCA_000403535.1	chromosome 1:CM001879.1; chromosome 2:CM001880.1; chromosome 3:CM001881.1; chromosome 4:CM001882.1; chromosome 5:CM001883.1; chromosome 6:CM001884.1; chromosome 7:CM001885.1; chromosome 8:CM001886.1; chromosome 9:CM001887.1; chromosome 10:CM001888.1	ALXC01	814	29234	44186	2013/05/29	2014/08/11	Chromosome	Cacao genome consortium	SAMN02981445
Bicyclus anynana	110368	PRJEB56894	893172	Animals	Insects	153.245	36.5	GCA_947172465.1	-	CAMWCT01	1468	-	-	2022/10/26	2022/10/27	Scaffold	WELLCOME SANGER INSTITUTE	SAMEA9252597
Homo sapiens	9606	PRJNA611184	611184	Animals	Mammals	2844.68	40.4	GCA_015152035.1	-	JADDHD01	14226	-	-	2020/10/30	2020/10/30	Scaffold	University of California, San Francisco	SAMN14253816
Moesziomyces antarcticus	84753	PRJEB25597	560809	Fungi	Basidiomycetes	18.3768	60.8	GCA_900322835.1	-	OOIQ01	39	7251	7088	2019/08/23	2019/08/23	Contig	Technische Universitat Munchen - WZW	SAMEA104710653
Gadus morhua	8049	PRJEB12469	328744	Animals	Fishes	495.065	-	GCA_900302565.1	-	OMLA01	52137	-	-	2018/03/09	2018/03/09	Scaffold	University of Oslo	SAMEA4028801
Plasmodium relictum	85471	PRJEB9074	353795	Protists	Apicomplexans	22.6074	18.4009	GCA_900005765.1	chromosome 1:NC_041679.1/LN835296.1; chromosome 2:NC_041680.1/LN835297.1; chromosome 3:NC_041681.1/LN835298.1; chromosome 4:NC_041682.1/LN835299.1; chromosome 5:NC_041683.1/LN835300.1; chromosome 6:NC_041684.1/LN835301.1; chromosome 7:NC_041685.1/LN835302.1; chromosome 8:NC_041686.1/LN835303.1; chromosome 9:NC_041687.1/LN835304.1; chromosome 10:NC_041688.1/LN835305.1; chromosome 11:NC_041689.1/LN835306.1; chromosome 12:NC_041690.1/LN835307.1; chromosome 13:NC_041691.1/LN835308.1; chromosome 14:NC_041692.1/LN835309.1; mitochondrion MIT:LN835311.1; mitochondrion MT:NC_012426.1/; apicoplast API:NC_031964.1/LN835310.1	CVMU01	514	5292	5136	2016/11/15	2016/11/16	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA2385706
Plasmodium falciparum	5833	PRJEB8808	287239	Protists	Apicomplexans	22.812	19.2129	GCA_900631985.1	chromosome 1:LR131338.1; chromosome 2:LR131339.1; chromosome 3:LR131340.1; chromosome 4:LR131341.1; chromosome 5:LR131342.1; chromosome 6:LR131343.1; chromosome 7:LR131344.1; chromosome 8:LR131345.1; chromosome 9:LR131346.1; chromosome 10:LR131347.1; chromosome 11:LR131348.1; chromosome 12:LR131349.1; chromosome 13:LR131350.1; chromosome 14:LR131351.1; mitochondrion 15:LR131352.1; apicoplast 16:LR131353.1	UZWH01	28	-	-	2018/12/10	2018/12/10	Chromosome	Wellcome Sanger Institute	SAMEA3359303
Saccharomyces cerevisiae	4932	PRJNA396809	396809	Fungi	Ascomycetes	11.6663	38.2181	GCA_003272305.1	chromosome I:CM015542.1; chromosome II:CM015543.1; chromosome III:CM015544.1; chromosome IV:CM015545.1; chromosome V:CM015546.1; chromosome VI:CM015547.1; chromosome VII:CM015548.1; chromosome VIII:CM015549.1; chromosome IX:CM015550.1; chromosome X:CM015551.1; chromosome XI:CM015552.1; chromosome XII:CM015553.1; chromosome XIII:CM015554.1; chromosome XIV:CM015555.1; chromosome XV:CM015556.1; chromosome XVI:CM015557.1	NPSV01	77	-	-	2018/06/28	2019/03/27	Chromosome	Institute Of Microbiology Chinese Academy of Sciences	SAMN07436968
Saccharomyces cerevisiae	4932	PRJNA680387	680387	Fungi	Ascomycetes	11.9138	38	GCA_017871015.1	-	JAEIFE01	1034	-	-	2021/04/08	2021/04/08	Scaffold	Institute of Microbiology	SAMN16879109
Aspergillus sojae NBRC 4239	927772	PRJDA60265	60265	Fungi	Ascomycetes	39.6722	48.1	GCA_000226655.2	-	BACA02	501	-	-	2011/06/14	2020/09/08	Scaffold	Kikkoman Corporation	SAMD00036547
Emesis brimo vimena	2613983	PRJNA606954	606954	Animals	Insects	5.98279	38.9	GCA_018236245.1	-	DVYW01	17943	-	-	2021/05/03	2022/02/17	Contig	Florida Museum of Natural History	SAMN12776940
Corynespora cassiicola	59586	PRJNA428435	428435	Fungi	Ascomycetes	42.3469	51.7	GCA_002975825.1	-	PORV01	6255	-	-	2018/03/07	2018/03/07	Contig	Universite Clermont Auvergne (UCA)	SAMN08330695
Cosmia trapezina	116126	PRJEB42026	686346	Animals	Insects	825.188	37.9045	GCA_905163495.3	chromosome 1:LR991020.1; chromosome 2:LR991021.1; chromosome 3:LR991022.1; chromosome 4:LR991023.1; chromosome 5:LR991024.1; chromosome 6:LR991025.1; chromosome 7:LR991026.1; chromosome 8:LR991027.1; chromosome 9:LR991028.1; chromosome 10:LR991029.1; chromosome 11:LR991030.1; chromosome 12:LR991031.1; chromosome 13:LR991032.1; chromosome 14:LR991033.1; chromosome 15:LR991034.1; chromosome 16:LR991035.1; chromosome 17:LR991036.1; chromosome 18:LR991037.1; chromosome 19:LR991038.1; chromosome 20:LR991039.1; chromosome 21:LR991040.1; chromosome 22:LR991041.1; chromosome 23:LR991042.1; chromosome 24:LR991043.1; chromosome 25:LR991044.1; chromosome 26:LR991045.1; chromosome 27:LR991046.1; chromosome 28:LR991047.1; chromosome 29:LR991048.1; chromosome 30:LR991049.1; chromosome 31:LR991050.1; chromosome Z:LR991019.1; mitochondrion MT:LR991051.3	CAJHZR03	63	-	-	2021/01/25	2022/10/12	Chromosome	Wellcome Sanger Institute	SAMEA7519851
Enterocytozoon hepatopenaei	646526	PRJNA350317	350317	Fungi	Other Fungi	3.25352	25.5	GCA_002081675.1	-	MNPJ01	62	2536	2536	2017/04/06	2017/04/06	Scaffold	University of Exeter	SAMN05936804
Parastagonospora nodorum	13684	PRJNA612761	612761	Fungi	Ascomycetes	37.0201	50.2	GCA_020568765.1	-	JAIRDY01	543	17364	17247	2021/10/25	2021/10/25	Scaffold	Curtin University of Technology	SAMN14380899
Xylariaceae sp. FL0662B	2614610	PRJNA567096	567096	Fungi	Ascomycetes	45.9107	45.6	GCA_022376535.1	-	JAJJKD01	470	12021	11917	2022/02/23	2022/02/23	Contig	DOE Joint Genome Institute	SAMN12811570
Falco biarmicus	345155	PRJNA842827	842827	Animals	Birds	1202.44	43.2	GCA_023634305.1	-	JAMOAU01	3090	-	-	2022/06/01	2022/06/01	Contig	Vertebrate Genomes Project	SAMN28688289
Candida sp. LDI48194	1759314	PRJNA282657	282657	Fungi	Ascomycetes	13.9915	33.1	GCA_001005365.1	-	LBNG01	367	-	-	2015/05/08	2015/11/23	Contig	Universidade Federal do Para	SAMN03573713
Diplodia seriata	420778	PRJNA790013	790013	Fungi	Ascomycetes	37.5534	56.6	GCA_021436955.2	-	JAJVCZ02	22	-	-	2022/01/11	2022/03/15	Contig	Agriculture and Agri-Food Canada	SAMN24407916
Talaromyces sp. B14P1	2940361	PRJNA833221	833221	Fungi	Ascomycetes	34.4613	46.3	GCA_023626195.1	-	JAMAGN01	294	-	-	2022/06/01	2022/06/01	Scaffold	Dalian Medical University	SAMN27963520
Boehmeria nivea	83906	PRJNA417329	417329	Plants	Land Plants	344.617	32.7	GCA_002937015.1	-	PHNS01	12775	-	-	2018/02/21	2018/02/21	Scaffold	Institute of Bast Fiber Crops, Chinese Academy of Agricultural Sciences	SAMN07982878
Thermochaetoides dissita	2588329	PRJNA595853	595853	Fungi	Ascomycetes	28.064	30.8	GCA_011800035.1	-	JAAFKN01	5427	-	-	2020/03/31	2020/03/31	Contig	Chaetomium thermophilum dissitum	SAMN13569812
Saccharomyces cerevisiae	4932	PRJNA680387	680387	Fungi	Ascomycetes	12.5224	37.7	GCA_017868835.1	-	JAEDTC01	2635	-	-	2021/04/08	2021/04/08	Scaffold	Institute of Microbiology	SAMN16879138
Plestiodon gilberti rubricaudatus	245608	PRJNA874061	874061	Animals	Reptiles	1447.23	45.8	GCA_026170395.1	-	JANXHV01	50	-	-	2022/11/14	2022/11/14	Scaffold	UCLA	SAMN30523592
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.81214	44.6	GCA_900008115.2	-	CZRX02	1	-	-	2017/02/12	2017/02/12	Scaffold	STANFORD UNIVERSITY	SAMEA2660261
Calamotropha paludella	1371681	PRJEB49994	796918	Animals	Insects	620.053	34.4	GCA_927399455.1	-	CAKMJP01	1480	-	-	2022/01/21	2022/01/21	Contig	WELLCOME SANGER INSTITUTE	SAMEA7746625
Fusarium oxysporum	5507	PRJNA412392	412392	Fungi	Ascomycetes	52.4534	47.3	GCA_011035055.1	-	WEVU01	1648	-	-	2020/02/27	2020/02/27	Scaffold	Cook Lab - University of California at Davis	SAMN07710853
Aspergillus baeticus	1194636	PRJNA852164	852164	Fungi	Ascomycetes	39.7869	50.2	GCA_027569055.1	-	JAPDEI01	148	-	-	2023/01/04	2023/01/04	Contig	Northwestern University	SAMN31355036
Stiretrus anchorago	1891344	PRJEB46387	762819	Animals	Insects	1.48715	31.6	GCA_913697995.1	-	CAJYCS01	181	-	-	2021/09/11	2021/09/11	Contig	UNIVERSITY OF LIVERPOOL	SAMN05580311
Cryphonectria parasitica	5116	PRJNA644891	644891	Fungi	Ascomycetes	43.5102	50.9	GCA_014850695.1	-	JACWSK01	1597	-	-	2020/10/05	2020/10/19	Scaffold	Swiss Federal Research Institute WSL	SAMN15481980
Leucosporidium scottii	5278	PRJNA378219	378219	Fungi	Basidiomycetes	26.7501	58.7	GCA_003054985.1	-	MWVB01	1437	-	-	2018/04/17	2018/04/17	Scaffold	UCIBIO-REQUIMTE, Faculdade de Ciencias e Tecnologia, Universidade Nova da Lisboa	SAMN06481099
Paramikrocytos canceri	1483957	PRJEB46940	776487	Protists	Other Protists	15.2329	30.7	GCA_912686445.1	-	CAJVVY01	14571	-	-	2021/11/01	2021/11/01	Scaffold	UPPSALA UNIVERISTY	SAMEA9534146
Trametes elegans	526244	PRJNA334783	334783	Fungi	Basidiomycetes	33.8129	58.8	GCA_022606155.1	-	JABYQO01	94	12232	11943	2022/03/16	2022/03/16	Contig	DOE Joint Genome Institute	SAMN05444071
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.85249	44.6	GCA_900009105.2	-	CZSL02	1	-	-	2017/02/12	2017/02/12	Scaffold	STANFORD UNIVERSITY	SAMEA2660241
Spirodela polyrhiza	29656	PRJEB28272	486957	Plants	Land Plants	142.661	38.6	GCA_900536055.1	-	UNPA01	2585	-	-	2018/08/29	2018/08/29	Scaffold	J CRAIG VENTER INSTITUTE	SAMEA4838158
Crotalus pyrrhus	384069	PRJNA255393	255393	Animals	Reptiles	1126.79	38.5	GCA_000737285.1	-	JPMF01	473380	-	-	2014/08/01	2014/11/12	Scaffold	Reed College	SAMN02918464
Caprimulgus europaeus	111811	PRJEB44540	725783	Animals	Birds	1177.79	41.9331	GCA_907165065.1	chromosome 1:OU015523.1; chromosome 2:OU015524.1; chromosome 3:OU015525.1; chromosome 4:OU015526.1; chromosome 5:OU015528.1; chromosome 6:OU015529.1; chromosome 7:OU015530.1; chromosome 8:OU015531.1; chromosome 9:OU015532.1; chromosome 10:OU015533.1; chromosome 11:OU015534.1; chromosome 12:OU015535.1; chromosome 13:OU015536.1; chromosome 14:OU015538.1; chromosome 15:OU015539.1; chromosome 16:OU015540.1; chromosome 17:OU015541.1; chromosome 18:OU015542.1; chromosome 19:OU015543.1; chromosome 20:OU015544.1; chromosome 21:OU015545.1; chromosome 22:OU015546.1; chromosome 23:OU015547.1; chromosome 24:OU015548.1; chromosome 25:OU015549.1; chromosome 26:OU015550.1; chromosome 27:OU015551.1; chromosome 28:OU015552.1; chromosome 29:OU015553.1; chromosome 30:OU015554.1; chromosome 31:OU015555.1; chromosome 32:OU015556.1; chromosome 33:OU015557.1; chromosome 34:OU015558.1; chromosome 35:OU015559.1; chromosome W:OU015537.1; chromosome Z:OU015527.1	CAJRAV01	121	-	-	2021/05/10	2021/05/10	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7524394
